id,stage,reason
1971-s0013,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 125 (char 126)"
1971-s0014,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 166 (char 167)"
1972-s0007,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 192 (char 193)"
1972-s0008,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 193 (char 194)"
1973-s0000,parse,JSONDecodeError: Expecting property name enclosed in double quotes: line 4 column 3 (char 146)
1973-s0001,parse,"JSONDecodeError: Expecting ',' delimiter: line 7 column 62 (char 458)"
1973-s0007,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 126 (char 127)"
1973-s0008,parse,JSONDecodeError: Expecting property name enclosed in double quotes: line 4 column 3 (char 148)
1973-s0021,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 66 (char 67)"
1975-s0001,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 95 (char 96)"
1975-s0004,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 67 (char 68)"
1975-s0005,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 156 (char 157)"
1976-s0011,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 131 (char 132)"
1977-s0008,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 283 (char 284)"
1977-s0010,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 185 (char 186)"
1978-s0001,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 217 (char 218)"
1978-s0002,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 331 (char 332)"
1978-s0003,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 132 (char 133)"
1978-s0006,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 99 (char 100)"
1979-s0006,parse,"JSONDecodeError: Expecting ',' delimiter: line 5 column 1 (char 230)"
1979-s0007,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 62 (char 63)"
1979-s0008,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 95 (char 96)"
1988-s0110,parse,JSONDecodeError: Expecting property name enclosed in double quotes: line 4 column 3 (char 153)
1995-s0070,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 148 (char 149)"
1995-s0071,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 148 (char 149)"
1996-s0014,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 324 (char 325)"
1996-s0015,parse,"JSONDecodeError: Expecting ',' delimiter: line 2 column 324 (char 325)"
